""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BS2-1566-DD"	22364	15282	14198	13911	13911
"BS2-1566-HD"	26969	23706	23640	23176	23176
"BS2-1689-DD"	32955	22870	22586	22200	22200
"BS2-1689-HD"	1345	1207	1176	1155	1155
"BS2-1842-DD"	101464	90151	89802	87946	87946
"BS2-1842-HD"	6115	3669	3568	3472	3472
"BS2-1925-DD"	9051	5205	4479	4410	4410
"BS2-1925-HD"	8446	5539	5384	5272	5272
"BS2-2006-DD"	7656	4804	4037	3955	3955
"BS2-2006-HD"	10820	7444	7359	7249	7249
"BS2-2019-DD"	30378	22388	21029	20300	20300
"BS2-2019-HD"	9603	4867	4771	4706	4706
"BS2-2048-DD"	10451	6854	5781	5657	5657
"BS2-2048-HD"	15434	12205	12060	11901	11901
"BS2-2065-HH"	394	237	212	188	188
"BS2-2076-DD"	304147	294353	289252	258727	258727
"BS2-2076-HD"	64854	44601	44171	41677	41677
"BS2-2077-DD"	1043	374	259	234	234
"BS2-2077-HD"	374	315	306	299	299
"BS2-2078-DD"	4128	3692	3638	3563	3563
"BS2-2078-HD"	97025	82624	81422	79918	79918
"BS2-2079-DD"	21353	19730	19603	19386	19386
"BS2-2079-HD"	29042	24802	24585	24087	24087
"BS2-2080-DD"	6093	5601	5565	5498	5498
"BS2-2080-HD"	1019	591	527	478	478
"BS2-2091-DD"	293293	252196	250682	237312	237312
"BS2-2091-HD"	6932	6494	6480	6407	6407
"BS2-2149-DD"	18423	15496	15387	15165	15165
"BS2-2149-HD"	28212	10898	9595	8908	8908
"BS2-2150-HH"	26673	21705	21346	20681	20681
"BS2-2155-DD"	115825	96699	95874	92081	92081
"BS2-2155-HD"	19707	3972	3794	3519	3519
"BS2-2179-DD"	59923	52998	52832	51796	51796
"BS2-2179-HD"	19752	15300	15044	14825	14825
"BS2-2180-DD"	10183	9040	8953	8808	8808
"BS2-2180-HD"	5181	3429	3369	3327	3327
"BS2-2198-DD"	5454	4884	4743	4683	4683
"BS2-2198-HD"	1461	662	638	574	574
"BS2-2407-DD"	3313	2469	2293	2208	2208
"BS2-2407-HD"	9257	7241	7050	6981	6981
"BS2-2415-DD"	118814	107280	106465	99316	99316
"BS2-2415-HD"	53580	45604	45187	43872	43872
"BS2-2432-HH"	99342	91142	90318	89457	89457
"BS2-2433-DD"	14831	13012	12845	12790	12790
"BS2-2433-HD"	4717	3866	3821	3788	3788
"BS2-2453-DD"	6918	6381	6308	6276	6276
"BS2-2453-HD"	6582	3168	3057	2980	2980
"BS2-2460-DD"	8238	7564	7520	7501	7501
"BS2-2460-HD"	528	177	129	116	116
"BS2-2464-DD"	7929	7098	7032	6964	6964
"BS2-2464-HD"	18497	3142	2941	2797	2797
"BS2-2474-DD"	3234	2372	2237	2161	2161
"BS2-2474-HD"	38489	29294	29084	27434	27434
"BS2-2475-DD"	338601	321334	320092	307410	307410
"BS2-2475-HD"	11431	6323	6150	5969	5969
"BS2-2478-DD"	22782	20224	20163	19820	19820
"BS2-2478-HD"	1382	942	882	863	863
"BS2-2479-DD"	76140	60904	60159	56290	56290
"BS2-2479-HD"	13876	8683	7683	7530	7530
"BS2-2480-HD"	7288	4506	3801	3720	3720
"BS2-2482-DD"	24625	21126	20240	19420	19420
"BS2-2482-HD"	80354	71701	71448	68157	68157
"BS2-2483-DD"	53036	44659	44599	44200	44200
"BS2-2483-HD"	12125	9253	9161	8817	8817
"BS2-2499-DD"	41635	37140	36896	36004	36004
"BS2-2499-HD"	35496	25489	25337	24562	24562
"BS2-2500-DD"	49485	45519	44586	43648	43648
"BS2-2500-HD"	151781	135271	134513	129533	129533
"BS2-2662-HH"	15782	4280	4089	4015	4015
"BS2-2672-HH"	80423	73455	71609	68011	68011
"BS2-2673-HH"	4131	2939	2909	2855	2855
"BS2-2675-DD"	13514	12478	12439	12322	12322
"BS2-2675-HD"	698	153	101	87	87
"BS2-2683-HH"	587	188	145	130	130
"BS2-2685-DD"	4868	3060	2418	2353	2353
"BS2-2685-HD"	34513	32158	32037	31260	31260
"BS2-2694-HH"	64129	56742	56589	56117	56117
"BS2-Blank-1"	57647	53947	53836	52569	52569
